,Title,Publication Information,Publisher,Author,year,Abstract
201,Automation of Non-Classroom Courses using Machine Learning Techniques,"A Anand, S De, A Jaiswal, S Agrawal… - 2020 6th International …, 2020 - ieeexplore.ieee.org",Automation of Non-Classroom Courses using Machine Learning Techniques,"A Anand, S De, A Jaiswal, S Agrawal… ","2020, 6, 2020","… This may be achieved in several ways, among which Web Usage Mining, Web Scrapping, 
and Semantic Annotation are important. Malik & … on the web like Web Usage Mining, Web 
Scrapping, and Semantic Annotation for a far better or efficient information extraction on the web […"
202,Link analysis of Wikipedia documents using mapreduce,"V Hardik, V Anirudh, P Balaji - 2015 IEEE International …, 2015 - ieeexplore.ieee.org",[PDF] pitt.edu,"V Hardik, V Anirudh, P Balaji ","2015, 2015","… This component of our system focuses on extracting the data from the web crawler and 
performing parsing process. The concept of web scrapping is highlighted in this section which 
is modified with respect to our cloud based model. By definition, Web scraper is a computer …"
203,Sentiment analysis on indian indigenous languages: a review on multilingual opinion mining,"SR Shah, A Kaushik - arXiv preprint arXiv:1911.12848, 2019 - arxiv.org",[PDF] arxiv.org,"SR Shah, A Kaushik ","1911, 12848, 2019","… Some researchers have extracted their data from Twitter [10, 17, 18, 21, 24, 25, 26], while 
some have opted for extracting the data manually or by performing web scrapping on different 
websites like Facebook, microblogs, e-commerce websites, YouTube etc. [8, 9, 12, 13, 15, 23]…"
204,Travel offline virtual support through locational reminder and suggestions using data analytics,"KR Bodke, AI Shaikh, FF Shaikh - 2018 - 103.248.31.52",Travel offline virtual support through locational reminder and suggestions using data analytics,"KR Bodke, AI Shaikh, FF Shaikh ","2018, 103, 248, 31, 52","… Abstract: The combination of smart phone and web service is that the trend of the longer term 
… The web and Android application developed to show how the architecture works and has 
a … We are using data and web scrapping to get the data from the websites .we will be using …"
205,"[PDF][PDF] AN EXPERIMENTAL ANALYSIS ON E-COMMERCE REVIEWS, WITH SENTIMENT CLASSIFICATION USING OPINION MINING ON WEB",SS Latha - ijeast.com,[PDF] ijeast.com,SS Latha ,,"… This method works by web scrapping … web and classifies the reviews as positive and 
negative by considering selected attributes to get the opinion of the product. The previous system 
does not consider the features of the product. We have large volume of data available on web. …"
206,Dynamic Review Modelling and Recommendation of Tourism Data,"S Sequeira, J Joy, D Dsouza, P Kaul - Proceedings of the …, 2020 - papers.ssrn.com",Dynamic Review Modelling and Recommendation of Tourism Data,"S Sequeira, J Joy, D Dsouza, P Kaul ",2020,"… the web showed with models. The paper features with representations and trial result along 
with The job of web scrapping, web usage mining and semantic annotation in data extraction 
on web … Web Scrapping: In this section we go to websites which have reviews about tourist …"
207,[PDF][PDF] Analysis of Stack Overflow Data using Web Portal,"U Kumar, V Chaturvedi, V Kumar, RP Singh, MS Gupta - academia.edu",[PDF] academia.edu,"U Kumar, V Chaturvedi, V Kumar, RP Singh, MS Gupta ",,"… a web-based application in which we performing analysis on the data present on the Stack 
overflow website. The data on the site is obtained through web scrapping … suggestions for the 
research in the area of web Scrapping using Stack overflow. This research is made possible …"
208,[PDF][PDF] Developing a Web Credibility Evaluation Tool Using PROMETHEE Method.,"M Alghamdi, K Alomar - Comput. Inf. Sci., 2019 - pdfs.semanticscholar.org",[PDF] semanticscholar.org,"M Alghamdi, K Alomar ",2019,"… Once the URLs have been submitted, the web scrapping subsystem of the website ranking 
tool initiates the extraction process of factors’ values for each website in a sequential manner 
as per the listing of the websites in the input pages. After all the factors’ values have been …"
209,Web Scraper Dan Graphql API Untuk Data Perguruan Tinggi Di Indonesia Berdasarkan Website Kementerian Ristekdikti (Studi Kasus: Website Kementerian …,"L Tiara, H Syaputra, W Cholil… - Jurnal Nasional Ilmu …, 2021 - journal.jis-institute.org",[PDF] jis-institute.org,"L Tiara, H Syaputra, W Cholil… ",2021,"… Pengembangan aplikasi dalam penelitian ini menggunakan teknologi web service REST, 
web scraping dan penggunaan API. Dalam penelitian ini penggunaan API digunakan untuk 
memperoleh data harga pengiriman dan harga jasa JNE express. Metode …"
210,Automatically Injecting Semantic Annotations into Online Articles,"H Salem, M Mazzara, S Elnaffar - International Conference on Advanced …, 2021 - Springer",Automatically Injecting Semantic Annotations into Online Articles,"H Salem, M Mazzara, S Elnaffar ",2021,"… Information extraction using web usage mining, web scrapping and semantic annotation. In: 
2011 International Conference on Computational … Malik, SK, Rizvi, SA: Information extraction 
using web usage mining, web scrapping and semantic annotation. In: 2011 International …"
211,Sentimen Analisis Publik Terhadap Joko Widodo Terhadap Wabah Covid-19 Menggunakan Metode Machine Learning,"S Hikmawan, A Pardamean… - Jurnal Kajian …, 2020 - ejurnal.ubharajaya.ac.id",[PDF] ubharajaya.ac.id,"S Hikmawan, A Pardamean… ",2020,"… data dengan melakukan Web scrapping dari twitter. Web scrapping adalah proses yang 
digunakan untuk mengekstraksi data dari situs web yang diinginkan dengan langsung 
mengakses World Wide Web dengan bantuan HTTP, atau melalui browser web (Jain et al., 2019). …"
212,"HARVESTING, INTEGRATING AND DISTRIBUTING LARGE OPEN GEOSPATIAL DATASETS USING FREE AND OPEN-SOURCE SOFTWARE.","R Oliveira, R Moreno - International Archives of the …, 2016 - search.ebscohost.com","HARVESTING, INTEGRATING AND DISTRIBUTING LARGE OPEN GEOSPATIAL DATASETS USING FREE AND OPEN-SOURCE SOFTWARE.","R Oliveira, R Moreno ",2016,"… ” that does not exist in the parcel data set), this approach is referred to as “Web Scrapping” 
(for definition see https://en.wikipedia.org/wiki/… We tested scrapping diverse attributes from 
the tax system website and joining them to selected attributes and records from the city parcels …"
213,Personalized content extraction and text classification using effective web scraping techniques,"T Karthikeyan, K Sekaran, D Ranjith… - … Journal of Web Portals …, 2019 - igi-global.com",[PDF] github.io,"T Karthikeyan, K Sekaran, D Ranjith… ",2019,"… Web scraping is a technique to extract information from various web documents automatically. It 
retrieves the related contents based on … In this article, using effective web scraping 
methodologies, the data is initially extracted from websites, then transformed into a structured form. …"
214,Sarcasm Detection Technique on Twitter Data with Natural Language Processing,"S Chaudhary, M Kakkar - Proceedings of International Conference on Big …, 2021 - Springer",Sarcasm Detection Technique on Twitter Data with Natural Language Processing,"S Chaudhary, M Kakkar ",2021,"… The dataset used in this research is collected from Twitter via Web scrapping. Four machine 
learning algorithms such as linear SVC (accuracy = 83%, f1-score = 0.81), Naïve Bayes 
(accuracy = 74%, f1-score = 0.73), logistic regression (accuracy = 83%, f1-score = 0.81) and …"
215,Improving naïve bayes in sentiment analysis for hotel industry in Indonesia,"T Sutabri, A Suryatno, D Setiadi… - 2018 Third International …, 2018 - ieeexplore.ieee.org",[PDF] researchgate.net,"T Sutabri, A Suryatno, D Setiadi… ","2018, 2018","… web scrapping automatically, using the application UBOT studio, without API (application 
programmable interface). After the scrapping … In this research, the data acquisition process 
through several stages of scrapping, labeling, tokenizes, stop word filter, and stemming. The …"
216,Impact of the degree of price rigidity on the possibilities of monetary policy,"A Bozhechkova, P Trunin - 2020 - econpapers.repec.org",Impact of the degree of price rigidity on the possibilities of monetary policy,"A Bozhechkova, P Trunin ",2020,"… Then we present the results of microestimates of price rigidity based on online-prices, which 
were collected using web-scrapping techniques. The average price duration for food commodities 
is estimated at 2.6 months. We also do the calibration of price rigidity parameters in a …"
217,Analysis of the Level of Geographic Criminal Risk Oriented to Women,"J Hernández, D Jiménez, R Zagal, F Mata… - … Congress of Telematics …, 2021 - Springer",Analysis of the Level of Geographic Criminal Risk Oriented to Women,"J Hernández, D Jiménez, R Zagal, F Mata… ",2021,"… Data were extracted using web scrapping in digital media publications and were collected 
from open databases provided by the Mexican … The approach was tested using a web tool 
that facilitates decision-making based on the representativeness of crime behavior, the dataset …"
218,[CITATION][C] Online Shopping Comparison on E-Commerce Sites Using Web Scrapping Approach,"A Kumar, M Muthu Selvam, V Logeshkanna",Save,"A Kumar, M Muthu Selvam, V Logeshkanna",,
219,[PDF][PDF] Web Platform for SaaS Applications,"S Janardhan, P Nalage, S Sachdev, H Singh… - shabdbooks.com",[PDF] shabdbooks.com,"S Janardhan, P Nalage, S Sachdev, H Singh… ",,"… They explained extracting useful information from the web using Web Usage Mining, Web 
Scrapping and Semantic Annotation. In the Scraper implementation, the discovery pattern is 
used in the website for extraction of fields. API is used to define the formal structure to data sets…"
220,[PDF][PDF] Designing and Implementing Efficient Web-based RSS Reader for Mobile Devices,"P Kaul, D Sharma - International Journal of Computer Applications, 2013 - Citeseer",[PDF] psu.edu,"P Kaul, D Sharma ",2013,"… and note from the web server. First aspect exploits web scrapping capability of proxy server. 
Since each of the websites have different organizational pattern for their video RSS feeds, 
regular expressions for scrapping the useful part vary from site to site. The HTML format of …"
